127.0.0.1, 2022-10-03 11:44:14, GET, /, HTTP/1.1, 303, 0.011999
127.0.0.1, 2022-10-03 11:44:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.885002
127.0.0.1, 2022-10-03 11:44:15, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004008
127.0.0.1, 2022-10-03 11:44:15, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003996
127.0.0.1, 2022-10-03 11:44:15, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001992
127.0.0.1, 2022-10-03 11:44:15, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003999
127.0.0.1, 2022-10-03 11:44:15, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.004001
127.0.0.1, 2022-10-03 11:44:15, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.004001
127.0.0.1, 2022-10-03 11:44:15, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003001
127.0.0.1, 2022-10-03 11:44:15, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.014003
127.0.0.1, 2022-10-03 11:44:15, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.018002
127.0.0.1, 2022-10-03 11:44:15, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001027
127.0.0.1, 2022-10-03 11:44:16, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001016
127.0.0.1, 2022-10-03 11:44:22, GET, /contab, HTTP/1.1, 200, 0.043997
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/modules/fontawesome/css/all.min.css, HTTP/1.1, 200, 0.005996
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/modules/bootstrap-icons/font/bootstrap-icons.css, HTTP/1.1, 200, 0.002006
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/modules/bootstrap/css/bootstrap.min.css, HTTP/1.1, 200, 0.022993
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/assets/App.css, HTTP/1.1, 200, 0.017037
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/assets/Sheet.css, HTTP/1.1, 200, 0.009983
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/assets/SideTab.css, HTTP/1.1, 200, 0.016955
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/assets/PrintPDF.css, HTTP/1.1, 200, 0.002911
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/modules/datepicker/css/datepicker.min.css, HTTP/1.1, 200, 0.004982
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/modules/pdfmake-0.1/build/pdfmake.min.js, HTTP/1.1, 200, 0.002972
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/modules/pdfmake-0.1/build/vfs_fonts.js, HTTP/1.1, 200, 0.002972
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/modules/vuex.js, HTTP/1.1, 200, 0.002997
01996
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/modules/vue.js, HTTP/1.1, 200, 0.003998
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/modules/vue-router.js, HTTP/1.1, 200, 0.002003
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/modules/col-row-plus.js, HTTP/1.1, 200, 0.003005
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/modules/datepicker/js/datepicker-full.min.js, HTTP/1.1, 200, 0.001972
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/modules/datepicker/js/locales/es.js, HTTP/1.1, 200, 0.003006
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/store/index.js, HTTP/1.1, 200, 0.006992
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/modules/bootstrap/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.011977
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/views/NotFound.js, HTTP/1.1, 200, 0.001986
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/components/Header.js, HTTP/1.1, 200, 0.004019
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/views/Pay.js, HTTP/1.1, 200, 0.005988
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/components/SideTab.js, HTTP/1.1, 200, 0.005012
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/components/PrintPDF.js, HTTP/1.1, 200, 0.002001
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/components/Config.js, HTTP/1.1, 200, 0.002001
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/components/Exclude.js, HTTP/1.1, 200, 0.002001
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/components/bsComponents.js, HTTP/1.1, 200, 0.002971
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/router/index.js, HTTP/1.1, 200, 0.008002
127.0.0.1, 2022-10-03 11:44:22, GET, /contab/static/src/App.js, HTTP/1.1, 200, 0.006991
